,Team 1,Team 1 Label,num boys Sports,T1 American Indian/Alaska Native,T1 Asian or Asian/Pacific Islander,T1 Hispanic,T1 Black,T1 White,T1 Nat. Hawaiian or Other Pacific Isl.,T1 Two or More Races,T1 Total Students,T1 Grades 9-12 Students,T1 Pupil/Teacher Ratio,T1 Charter School,T1 Magnet School,T1 Private School,MV,Total Games,Total Wins,Win Percentage
10985,Cedar Valley Christian,10986,5.0,0.0,5.4,1.8,8.0,84.8,0.0,0.0,141.0,34.0,7.47,1,1,1.0,-4.307692307692308,14,6,42.9
11009,Columbus,11010,5.0,0.1,11.3,15.6,4.0,64.0,1.1,3.8,1018.0,297.0,12.7,1,1,1.0,-16.72222222222222,18,4,22.2
11027,Des Moines Christian,11028,,0.2,3.0,1.0,2.2,92.1,0.0,1.5,1147.0,320.0,10.72,1,1,1.0,17.545454545454547,24,18,75.0
11033,Dowling Catholic,11034,6.0,0.1,7.0,13.0,5.3,72.2,0.1,2.3,1415.0,1415.0,15.81,1,1,1.0,1.3043478260869563,24,9,37.5
11076,Hillcrest Academy,11077,5.0,1.7,1.7,13.3,0.0,81.7,0.0,1.7,60.0,60.0,5.22,1,1,1.0,6.875,16,11,68.8
11077,Heartland Christian,11078,6.0,1.0,1.0,1.0,1.6,88.7,0.0,6.7,253.0,41.0,10.26,1,1,1.0,-3.0,19,6,31.6
11105,Kuemper,11106,6.0,,,,,,,,1184.0,319.0,12.73,1,1,1.0,1.0869565217391304,23,11,47.8
11126,Marquette,11127,5.0,0.0,1.0,0.0,0.0,99.0,0.0,0.0,234.0,62.0,8.06,1,1,1.0,-9.066666666666666,17,6,35.3
11141,Morning Star Academy,11142,3.0,0.0,0.5,4.0,2.0,88.9,0.5,4.0,234.0,45.0,10.94,1,1,1.0,-23.75,12,1,8.3
11170,Notre Dame,11171,4.0,0.0,3.5,0.2,2.2,90.0,0.0,4.0,461.0,135.0,12.11,1,1,1.0,0.4666666666666667,19,5,26.3
11183,Pathway Christian,11184,3.0,0.0,0.0,1.6,3.3,95.1,0.0,0.0,61.0,16.0,8.03,1,1,1.0,9.7,31,21,67.7
11193,Prince of Peace Prep,11194,5.0,0.0,1.0,8.1,6.1,80.8,0.0,4.0,223.0,56.0,10.48,1,1,1.0,-18.83333333333333,22,3,13.6
11197,Regina,11198,5.0,0.0,5.6,8.8,3.5,78.1,0.0,4.1,342.0,209.0,11.07,1,1,1.0,-9.9,21,8,38.1
11200,Rock Valley,11201,4.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,384.0,108.0,12.92,1,1,1.0,13.653846153846152,26,21,80.80000000000001
11214,Siouxland Christian,11215,6.0,0.0,1.0,87.2,7.7,3.1,1.0,0.0,213.0,64.0,8.02,1,1,1.0,-14.307692307692308,16,2,12.5
11232,St. Albert,11233,7.0,0.4,2.7,9.0,2.3,85.6,0.0,0.0,562.0,160.0,15.57,1,1,1.0,-2.24,25,12,48.0
11263,Wahlert,11264,5.0,0.2,2.3,5.2,1.4,90.7,0.2,0.0,482.0,482.0,13.43,1,1,1.0,2.9130434782608696,24,15,62.5
11265,Waterloo Christian,11266,5.0,3.0,3.0,6.0,4.5,83.5,0.0,0.0,153.0,32.0,9.17,1,1,1.0,-0.3529411764705882,20,8,40.0
11297,Xavier,11298,5.0,0.0,2.5,3.2,2.8,89.1,0.2,2.2,635.0,635.0,14.56,1,1,1.0,-0.7391304347826086,23,11,47.8
11298,Woodward Academy,11299,6.0,3.8,0.0,13.9,38.0,38.4,0.8,5.1,237.0,220.0,10.3,1,1,1.0,-34.38095238095238,26,2,7.7
11302,Atchison-Maur Hill-Mount Academy,11303,2.0,0.0,18.5,2.7,2.2,75.0,0.0,1.6,184.0,184.0,10.17,1,1,1.0,-3.875,17,6,35.3
11320,Berean Academy,11321,4.0,0.0,0.7,4.8,0.3,93.4,0.0,0.7,303.0,105.0,10.82,1,1,1.0,-0.1818181818181818,23,13,56.49999999999999
11322,Bishop Miege,11323,7.0,0.0,1.1,5.7,3.4,79.6,0.0,10.2,88.0,11.0,5.57,1,1,1.0,14.6,26,19,73.1
11323,Bishop Seabury Academy,11324,7.0,1.8,9.6,2.3,5.0,65.3,0.0,16.0,219.0,132.0,9.91,1,1,1.0,-12.047619047619047,21,3,14.3
11324,Bishop Carroll,11325,9.0,0.2,6.2,21.5,0.3,68.5,0.0,3.4,1153.0,1153.0,16.64,1,1,1.0,-3.809523809523809,21,8,38.1
11326,Bishop Ward,11327,5.0,0.0,3.6,74.1,10.6,11.0,0.3,0.3,301.0,301.0,11.03,1,1,1.0,13.0,21,16,76.2
11343,Cair Paravel,11344,6.0,,,,,,,,384.0,86.0,9.26,1,1,1.0,13.3,21,16,76.2
11345,Central Christian Academy,11346,2.0,0.9,2.4,5.2,5.7,81.4,0.0,4.4,458.0,41.0,10.11,1,1,1.0,-22.22222222222222,9,1,11.1
11347,Central Christian,11348,5.0,5.0,1.0,5.5,3.5,85.0,0.0,0.0,200.0,69.0,7.55,1,1,1.0,-3.238095238095238,23,9,39.1
11370,Collegiate,11371,6.0,0.0,2.2,1.5,2.8,93.5,0.0,0.0,540.0,303.0,11.54,1,1,1.0,5.545454545454546,24,15,62.5
11392,Elyria Christian,11393,4.0,0.0,1.0,2.6,2.6,90.7,0.5,2.6,193.0,68.0,11.09,1,1,1.0,10.142857142857142,24,14,58.3
11399,Faith Christian Academy,11400,4.0,0.7,1.4,2.4,3.1,92.4,0.0,0.0,307.0,67.0,6.18,1,1,1.0,5.896551724137931,29,19,65.5
11402,Flint Hills Christian,11403,5.0,1.4,0.0,2.2,3.6,89.1,0.0,3.6,151.0,30.0,8.85,1,1,1.0,-5.913043478260869,23,11,47.8
11423,Hayden,11424,6.0,0.7,1.5,11.4,1.7,78.9,0.0,5.8,412.0,412.0,16.75,1,1,1.0,-3.4642857142857144,28,10,35.7
11443,Independence,11444,7.0,5.4,0.0,8.6,1.1,85.0,0.0,0.0,93.0,42.0,8.02,1,1,1.0,-1.391304347826087,25,12,48.0
11447,Independent,11448,6.0,0.0,14.9,10.7,2.0,60.2,0.2,12.0,433.0,142.0,7.52,1,1,1.0,7.565217391304348,26,17,65.4
11459,Kapaun Mt. Carmel,11460,6.0,0.5,13.8,13.3,0.9,71.1,0.5,0.0,878.0,878.0,13.65,1,1,1.0,18.52173913043478,23,21,91.3
11493,Maur Hill Prep-Mount Academy,11494,6.0,0.0,18.5,2.7,2.2,75.0,0.0,1.6,184.0,184.0,10.17,1,1,1.0,2.1538461538461537,16,8,50.0
11569,Sacred Heart,11570,6.0,0.0,4.8,24.3,1.9,68.4,0.0,0.5,206.0,139.0,8.11,1,1,1.0,7.818181818181818,22,16,72.7
11571,Salina Central,11572,7.0,0.0,4.8,24.3,1.9,68.4,0.0,0.5,206.0,139.0,8.11,1,1,1.0,-2.142857142857143,21,10,47.6
11575,Saint Thomas Aquinas,11576,11.0,2.3,3.8,9.3,5.8,78.9,0.0,0.0,929.0,929.0,13.27,1,1,1.0,-1.7142857142857142,21,7,33.300000000000004
11582,Shawnee Mission Christian,11583,6.0,0.0,1.1,5.7,3.4,79.6,0.0,10.2,88.0,11.0,5.57,1,1,1.0,-2.333333333333333,21,8,38.1
11611,St. Mary's-Colgan,11612,7.0,2.4,2.0,7.0,0.4,87.8,0.4,0.0,514.0,138.0,11.83,1,1,1.0,9.26086956521739,23,14,60.9
